Address,Rank,Size,Symbol,Tag
0x00000000,U,000036,__ctr_start,gdef
0x00100024,U,000028,nninitRegion,
0x00100048,U,000068,__c89vswprintf,
0x00100090,U,000018,wcslen,
0x001000A4,U,000002,nn::ro::detail::DynamicLoader::Startup,
0x001000B0,U,000090,_printf_int_dec,
0x00100124,U,000040,_printf_charcount,
0x0010014C,U,000140,_printf_mbtowc,
0x001001DC,U,000010,_printf_input_wchar,
0x001001E6,U,000032,_printf_wchar_common,
0x0010020C,U,000016,_snputwc,
0x0010021C,U,000086,_printf_wc,
0x001002F4,U,000034,__aeabi_vec_ctor_nocookie_nodtor,
0x00100320,U,000068,_printf_longlong_oct,
0x00100364,U,000024,_printf_int_oct,
0x00100398,U,000088,_printf_longlong_hex,
0x00100430,U,000078,,
0x00100488,U,000022,_printf_cs_common,
0x001004C0,U,000022,_printf_lcs_common,
0x001004F0,U,000012,memcmp,
0x001004FC,U,000116,memcmp,
0x00100570,U,000008,thunk_FUN_00100578,
0x00100578,U,000018,,
0x001005C0,U,000066,,
0x00100610,U,000008,__set_errno,
0x00100618,U,000010,__read_errno,
0x00100622,U,000012,__set_errno,
0x0010062E,U,000026,tolower,
0x00100648,U,000050,__c89vsnprintf,
0x00100680,U,000054,,
0x001006BC,U,000082,__2snprintf,
0x00100710,U,000182,_printf_wctomb,
0x001007CC,U,000026,atoi,
0x001007E6,U,000080,mbstowcs,
0x00100836,U,000108,wcstombs,
0x0010091C,U,000040,wcsncmp,
0x00100944,U,000062,wmemset,
0x00100982,U,000042,,
0x001009AC,U,000026,__cpp_initialize__aeabi_,
0x001009D8,U,000034,__aeabi_vec_dtor,
0x001009FC,U,000050,vsnprintf,
0x00100A44,U,000054,sscanf,
0x00100A84,U,000108,strtol,
0x00100AF4,U,000012,__rt_SIGPVFN,
0x00100B00,U,000024,strrchr_,
0x00100B18,U,000024,,
0x00100B30,U,000018,,
0x00100B44,U,000034,_printf_char_file,
0x00100B6C,U,000324,_scanf_longlong,
0x00100CB0,U,000330,_scanf_int,
0x00100DFA,U,000226,_scanf_string,
0x00100EDC,U,000012,isspace,
0x00100EE8,U,000030,__vfscanf_char,
0x00100F10,U,000032,_sgetc,
0x00100F30,U,000038,_sbackspace,
0x00100F56,U,000168,_wcstoul,
0x00100FFE,U,000282,_scanf_mbtowc,
