symbol_name,segment_index,offset
_ZN2nn2ro10InitializeEPvjS0_jb,0,0
_ZN2nn2ro8LoadCROEPvjS0_jbbb,0,0
_ZN2nn2ro11UnloadCROExEPvj,0,0
_ZN2nn2ro4LinkEv,0,0
_ZN2nn2ro6UnlinkEv,0,0
__aeabi_atexit,0,0
__aeabi_memcpy4,0,0
__aeabi_memset,0,0
__aeabi_idivmod,0,0
__aeabi_uidivmod,0,0
__aeabi_vec_ctor_nocookie_nodtor,0,0
__aeabi_vec_delete,0,0
__aeabi_vec_dtor,0,0
_ZdlPv,0,0
_ZnwjPvj,0,0
_ZTVN10__cxxabiv117__class_type_infoE,0,0
_ZTVN10__cxxabiv120__si_class_type_infoE,0,0
gTaskMainMan,0,0
memcpy,0,0
nndbgPanic,0,0
_ZN7TaskMan5entryEP4Task,0,0
memset,0,0
memcmp,0,0
malloc,0,0
free,0,0
